City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
451,northam,51.0333,-4.2167,55.62,72,0,16.42,GB,1665016390
452,koroni,36.8,21.95,58.71,53,42,6.82,GR,1665016390
453,tiarei,-17.5333,-149.3333,84.22,71,32,26.24,PF,1665016391
454,port macquarie,-31.4333,152.9167,58.53,92,100,3.69,AU,1665016391
455,castrillon,43.3979,-6.7922,59.47,99,100,5.26,ES,1665016392
456,tilichiki,60.4667,166.1,37.53,73,42,26.57,RU,1665016392
457,cherskiy,68.75,161.3,28.6,96,100,9.64,RU,1665016453
458,gryazovets,58.88,40.2525,44.55,95,100,5.55,RU,1665016453
459,sinnamary,5.3833,-52.95,79.54,85,6,10.38,GF,1665016454
460,yar-sale,66.8333,70.8333,32.79,91,100,11.3,RU,1665016455
461,nicoya,10.1483,-85.452,76.37,89,100,2.48,CR,1665016455
462,gazanjyk,39.2446,55.5154,57.16,13,0,12.39,TM,1665016456
463,trapani,37.8333,12.6667,67.28,82,0,4.61,IT,1665016456
464,vlahita,46.35,25.5167,39.11,90,100,0.65,RO,1665016457
465,wajid,3.8093,43.2471,72.9,81,58,16.71,SO,1665016457
466,shebunino,46.4339,141.8603,46.17,52,90,20.15,RU,1665016458
467,rome,34.257,-85.1647,63.01,57,0,0.0,US,1665016261
468,inhambane,-23.865,35.3833,70.16,92,0,7.45,MZ,1665016458
469,hirara,24.8,125.2833,82.26,78,40,17.27,JP,1665016459
470,verkhoyansk,67.5447,133.385,23.43,90,100,5.23,RU,1665016459
471,iskateley,67.6803,53.1512,43.39,97,100,7.05,RU,1665016460
472,awjilah,29.1081,21.2869,72.64,45,12,12.15,LY,1665016460
473,antalaha,-14.9003,50.2788,66.81,88,1,6.62,MG,1665016461
474,kambove,-10.8764,26.5969,63.63,25,67,5.26,CD,1665016461
475,bahia blanca,-38.7196,-62.2724,56.97,71,98,8.55,AR,1665016210
476,maningrida,-12.0667,134.2667,89.31,51,45,9.4,AU,1665016462
477,kajaani,64.2273,27.7285,48.25,93,100,12.66,FI,1665016214
478,harper,4.375,-7.7169,75.94,91,100,5.88,LR,1665016463
479,scarborough,54.2797,-0.4044,50.65,82,0,7.0,GB,1665016438
480,kruisfontein,-34.0033,24.7314,52.88,89,0,5.5,ZA,1665016463
481,portree,57.4129,-6.1942,51.53,83,92,24.49,GB,1665016464
482,bundaberg,-24.85,152.35,74.21,69,33,3.0,AU,1665016334
483,nador,35.174,-2.9287,70.05,94,20,1.14,MA,1665016465
484,alenquer,-1.9417,-54.7383,84.52,48,54,3.24,BR,1665016465
